regime_flag,regime_state,n_weeks,mean_active_return_ann,information_ratio,pct_weeks_ew_outperformed,strategy,period
risk_off,on,274,-0.028422549395328463,-0.22742551172239425,0.5072992700729927,m1_only,full
risk_off,off,712,0.006374587885362982,0.12046628066515666,0.48735955056179775,m1_only,full
curve_inverted,off,986,-0.003295204827526936,-0.04133651366271776,0.49290060851926976,m1_only,full
inflation_up,on,403,0.06872469292829615,0.8163508956938348,0.46898263027295284,m1_only,full
inflation_up,off,583,-0.05307911356783002,-0.7004170313327605,0.5094339622641509,m1_only,full
growth_down,on,519,-0.011134208367239006,-0.11604301524203083,0.5028901734104047,m1_only,full
growth_down,off,467,0.005416664202688418,0.09581505862211336,0.4817987152034261,m1_only,full
risk_off,on,50,-0.025782217202218974,-0.380271203521479,0.42,m1_only,test
risk_off,off,235,0.01745541430441141,0.3930327565001304,0.425531914893617,m1_only,test
curve_inverted,off,285,0.009869864917283273,0.2004885580357674,0.4245614035087719,m1_only,test
inflation_up,on,115,0.002852606910424602,0.05634932651983646,0.46956521739130436,m1_only,test
inflation_up,off,170,0.014616833568981791,0.3019833343082807,0.3941176470588235,m1_only,test
growth_down,on,122,0.014731923144584129,0.31202978479838334,0.4098360655737705,m1_only,test
growth_down,off,163,0.006230778391328046,0.122595318902483,0.43558282208588955,m1_only,test
risk_off,on,274,-0.048150440990038304,-0.3339025149794576,0.5364963503649635,m1_m2_m3_ecdf,full
risk_off,off,712,-0.0005812471055107434,-0.009613707070153112,0.523876404494382,m1_m2_m3_ecdf,full
curve_inverted,off,986,-0.013800272586606639,-0.1504761145059404,0.5273833671399595,m1_m2_m3_ecdf,full
inflation_up,on,403,0.0818784401420989,0.7761768381829696,0.4913151364764268,m1_m2_m3_ecdf,full
inflation_up,off,583,-0.0799383879033619,-1.0037617494583606,0.5523156089193825,m1_m2_m3_ecdf,full
growth_down,on,519,-0.01391821365192826,-0.1294789930248919,0.5221579961464354,m1_m2_m3_ecdf,full
growth_down,off,467,-0.013669198897309158,-0.19460111755370016,0.5331905781584583,m1_m2_m3_ecdf,full
risk_off,on,50,0.005129779436946526,0.0748347396322159,0.5,m1_m2_m3_ecdf,test
risk_off,off,235,-0.008424794372120419,-0.14676084664382083,0.4978723404255319,m1_m2_m3_ecdf,test
curve_inverted,off,285,-0.0060467989670209416,-0.10182638550666966,0.4982456140350877,m1_m2_m3_ecdf,test
inflation_up,on,115,0.026160144953800982,0.35570778533825526,0.4434782608695652,m1_m2_m3_ecdf,test
inflation_up,off,170,-0.02783384926640048,-0.5861678884915945,0.5352941176470588,m1_m2_m3_ecdf,test
growth_down,on,122,-0.028403638045939747,-0.4785960796765418,0.5,m1_m2_m3_ecdf,test
growth_down,off,163,0.010686540711679019,0.1796461238230382,0.49693251533742333,m1_m2_m3_ecdf,test
risk_off,on,274,-0.11745286492984733,-0.6892430736759537,0.5948905109489051,m1_m2_m3_linear,full
risk_off,off,712,-0.040147293104105336,-0.5045563455533628,0.5393258426966292,m1_m2_m3_linear,full
curve_inverted,off,986,-0.06162977452424053,-0.5481379676813214,0.5547667342799188,m1_m2_m3_linear,full
inflation_up,on,403,0.06322030797223864,0.5082135439525916,0.511166253101737,m1_m2_m3_linear,full
inflation_up,off,583,-0.14793266173878789,-1.4537198857360283,0.5849056603773585,m1_m2_m3_linear,full
growth_down,on,519,-0.053036306136962606,-0.40735702901868087,0.5433526011560693,m1_m2_m3_linear,full
growth_down,off,467,-0.0711801173357978,-0.8021071839014238,0.5674518201284796,m1_m2_m3_linear,full
risk_off,on,50,-0.13068876786289269,-1.2450240560705277,0.6,m1_m2_m3_linear,test
risk_off,off,235,-0.04235467033110689,-0.5030134361304538,0.5319148936170213,m1_m2_m3_linear,test
curve_inverted,off,285,-0.05785188042440264,-0.6565359493552618,0.543859649122807,m1_m2_m3_linear,test
inflation_up,on,115,-0.0009523192346911868,-0.00946358703817599,0.46956521739130436,m1_m2_m3_linear,test
inflation_up,off,170,-0.09634276005273687,-1.2288836995014896,0.5941176470588235,m1_m2_m3_linear,test
growth_down,on,122,-0.07993024940346544,-0.9282918868458792,0.5327868852459017,m1_m2_m3_linear,test
growth_down,off,163,-0.041326966219214556,-0.4602691443269516,0.5521472392638037,m1_m2_m3_linear,test
risk_off,on,274,-0.025933383651427635,-0.20782552220689182,0.5072992700729927,m1_m2_m3_binary,full
risk_off,off,712,0.006410680174407079,0.12118376296509245,0.48735955056179775,m1_m2_m3_binary,full
