variant,period,annualized_return,sharpe,max_drawdown,excess_return_vs_benchmark,information_ratio,mean_gross_exposure,annualized_turnover,hit_rate,n_weeks,turnover_vs_baseline
ecdf_baseline,full,0.06536168922503505,0.9648663376962324,-0.16259985729104198,-0.008262965361110819,-0.1504761145059404,0.45049668610583365,7.963521204500619,0.5963488843813387,986,
ecdf_baseline,test,0.07020991066292082,0.9641318559980515,-0.11331717685054965,-0.0031835231711407896,-0.10182638550666966,0.5233334893009987,8.196326673173662,0.5929824561403508,285,
exposure_renorm_0.85,full,0.07922949263703649,0.8606007915469708,-0.18856832666967427,0.005604838050890626,0.013823723643433957,0.6851891282242784,9.85348170422378,0.6004056795131846,986,0.2373272389423715
exposure_renorm_0.85,test,0.07172400535593071,0.7879977721213832,-0.16260250011719768,-0.0016694284781308966,-0.06552975585646045,0.6967629856944434,9.033061662704144,0.5929824561403508,285,0.13430496770688194
exposure_renorm_1.00,full,0.09286450122255596,0.8574000856112923,-0.21904596843729363,0.019239846636410096,0.191063458652178,0.806104856734445,11.59233141673386,0.6004056795131846,986,0.45567910463808436
exposure_renorm_1.00,test,0.08396363362653347,0.7840984691568889,-0.18907398433437006,0.010570199792471868,0.20078278194013405,0.8197211596405217,10.627131367887229,0.5929824561403508,285,0.33447643259633164
exposure_renorm_1.10,full,0.1018834720616133,0.8551550085239601,-0.23891760866864742,0.028258817475467435,0.3029012105377538,0.8867153424078895,12.751564558407248,0.6004056795131846,986,0.6012470151018929
exposure_renorm_1.10,test,0.09204279593909015,0.7814055624234153,-0.20636247747704306,0.018649362105028544,0.35225267965290963,0.901693275604574,11.689844504675952,0.5929824561403508,285,0.46792407585596485
m3_floor_0.4,full,0.06110148550723582,0.8523805094353721,-0.17649041432901935,-0.012523169078910046,-0.2046573830825493,0.5097261985662637,6.534484469314938,0.5933062880324543,986,-0.17944784706268568
m3_floor_0.4,test,0.07051601188878509,0.9336880429498163,-0.1251394688883759,-0.002877421945276515,-0.10129683453786326,0.56389057146032,7.1325914585058925,0.6,285,-0.10434200206877364
m3_floor_0.5,full,0.060359417706743024,0.8055386089954731,-0.18230451816082371,-0.013265236879402842,-0.21670595201998563,0.5426843725012066,6.038725968361694,0.59026369168357,986,-0.24170152708968973
m3_floor_0.5,test,0.07030014084114655,0.9009717431820242,-0.13523148646004313,-0.0030932929929150532,-0.1059390972811184,0.5889270320744802,6.634984075260907,0.6,285,-0.1668278510376645
