fold_id,train_start,train_end,test_start,test_end,test_weeks,variant,test_auc,baseline_test_auc,auc_delta_vs_baseline,n_features
1,2006-01-01,2014-12-31,2015-01-01,2016-12-31,105,configured,0.4681931790695799,0.4681931790695799,0.0,52
1,2006-01-01,2014-12-31,2015-01-01,2016-12-31,105,m1_components_rich,0.4952833991776183,0.4681931790695799,0.02709022010803841,72
1,2006-01-01,2014-12-31,2015-01-01,2016-12-31,105,ic_alignment,0.4950012093848262,0.4681931790695799,0.026808030315246312,74
1,2006-01-01,2014-12-31,2015-01-01,2016-12-31,105,trend_emphasis,0.5048778521325485,0.4681931790695799,0.03668467306296863,76
2,2006-01-01,2016-12-31,2017-01-01,2018-12-31,104,configured,0.6311687211420342,0.6311687211420342,0.0,52
2,2006-01-01,2016-12-31,2017-01-01,2018-12-31,104,m1_components_rich,0.564366501461431,0.6311687211420342,-0.06680221968060318,72
2,2006-01-01,2016-12-31,2017-01-01,2018-12-31,104,ic_alignment,0.5645783030457068,0.6311687211420342,-0.06659041809632738,74
2,2006-01-01,2016-12-31,2017-01-01,2018-12-31,104,trend_emphasis,0.5625026475198034,0.6311687211420342,-0.06866607362223076,76
3,2006-01-01,2018-12-31,2019-01-01,2020-12-31,104,configured,0.5616805850028126,0.5616805850028126,0.0,52
3,2006-01-01,2018-12-31,2019-01-01,2020-12-31,104,m1_components_rich,0.5271515728441002,0.5616805850028126,-0.0345290121587124,72
3,2006-01-01,2018-12-31,2019-01-01,2020-12-31,104,ic_alignment,0.5272813811604864,0.5616805850028126,-0.0343992038423262,74
3,2006-01-01,2018-12-31,2019-01-01,2020-12-31,104,trend_emphasis,0.5319544805503873,0.5616805850028126,-0.029726104452425295,76
4,2006-01-01,2020-12-31,2021-01-01,2022-12-31,105,configured,0.5073178620522357,0.5073178620522357,0.0,52
4,2006-01-01,2020-12-31,2021-01-01,2022-12-31,105,m1_components_rich,0.5243389666046736,0.5073178620522357,0.017021104552437882,72
4,2006-01-01,2020-12-31,2021-01-01,2022-12-31,105,ic_alignment,0.5240155251880003,0.5073178620522357,0.016697663135764595,74
4,2006-01-01,2020-12-31,2021-01-01,2022-12-31,105,trend_emphasis,0.5253901512088622,0.5073178620522357,0.01807228915662651,76
5,2006-01-01,2022-12-31,2023-01-01,2024-12-31,104,configured,0.6139344262295081,0.6139344262295081,0.0,52
5,2006-01-01,2022-12-31,2023-01-01,2024-12-31,104,m1_components_rich,0.5768334771354615,0.6139344262295081,-0.0371009490940466,72
5,2006-01-01,2022-12-31,2023-01-01,2024-12-31,104,ic_alignment,0.5769628990509059,0.6139344262295081,-0.03697152717860219,74
5,2006-01-01,2022-12-31,2023-01-01,2024-12-31,104,trend_emphasis,0.5759706643658327,0.6139344262295081,-0.03796376186367545,76
6,2006-01-01,2024-12-31,2025-01-01,2026-06-12,76,configured,0.5033783783783784,0.5033783783783784,0.0,52
6,2006-01-01,2024-12-31,2025-01-01,2026-06-12,76,m1_components_rich,0.5000844594594595,0.5033783783783784,-0.0032939189189189477,72
6,2006-01-01,2024-12-31,2025-01-01,2026-06-12,76,ic_alignment,0.49999999999999994,0.5033783783783784,-0.003378378378378455,74
6,2006-01-01,2024-12-31,2025-01-01,2026-06-12,76,trend_emphasis,0.5024493243243244,0.5033783783783784,-0.0009290540540539682,76
