m3_mode,threshold,m1_candidates,m3_zero_count,m3_rejection_share,m3_approval_rate,mean_m3_size_on_candidates,m2_recall,m2_precision,m2_f1,degeneracy_note,test_ann_return,test_sharpe,test_max_drawdown,sharpe_edge_vs_m1,meaningful_rejection
binary,0.5,855,0,0.0,1.0,1.0,1.0,0.5894736842105263,0.7417218543046358,Binary M3 at this threshold approves all trades; strategy equals M1-only.,0.08404410490911496,0.786949642418549,-0.21003977682248642,0.0,False
linear_gated,0.5,855,0,0.0,1.0,0.19139111967633402,1.0,0.5894736842105263,0.7417218543046358,Binary M3 at this threshold approves all trades; strategy equals M1-only.,0.01866810364426774,0.8597033072235676,-0.044004154876644,0.07275366480501855,False
binary,0.52,855,0,0.0,1.0,1.0,1.0,0.5894736842105263,0.7417218543046358,Binary M3 at this threshold approves all trades; strategy equals M1-only.,0.08404410490911496,0.786949642418549,-0.21003977682248642,0.0,False
linear_gated,0.52,855,0,0.0,1.0,0.19139111967633402,1.0,0.5894736842105263,0.7417218543046358,Binary M3 at this threshold approves all trades; strategy equals M1-only.,0.01866810364426774,0.8597033072235676,-0.044004154876644,0.07275366480501855,False
binary,0.54,855,0,0.0,1.0,1.0,1.0,0.5894736842105263,0.7417218543046358,Binary M3 at this threshold approves all trades; strategy equals M1-only.,0.08404410490911496,0.786949642418549,-0.21003977682248642,0.0,False
linear_gated,0.54,855,0,0.0,1.0,0.19139111967633402,1.0,0.5894736842105263,0.7417218543046358,Binary M3 at this threshold approves all trades; strategy equals M1-only.,0.01866810364426774,0.8597033072235676,-0.044004154876644,0.07275366480501855,False
binary,0.55,855,0,0.0,1.0,1.0,1.0,0.5894736842105263,0.7417218543046358,Binary M3 at this threshold approves all trades; strategy equals M1-only.,0.08404410490911496,0.7869496424185488,-0.21003977682248676,-2.220446049250313e-16,False
linear_gated,0.55,855,0,0.0,1.0,0.19139111967633402,1.0,0.5894736842105263,0.7417218543046358,Binary M3 at this threshold approves all trades; strategy equals M1-only.,0.01866810364426774,0.8597033072235676,-0.044004154876644,0.07275366480501855,False
binary,0.56,855,3,0.0035087719298245615,0.9964912280701754,0.9964912280701754,1.0,0.5915492957746479,0.7433628318584071,Binary M3 at this threshold approves all trades; strategy equals M1-only.,0.08209900549214266,0.7680303885373923,-0.21863128571611068,-0.018919253881156783,False
linear_gated,0.56,855,3,0.0035087719298245615,0.9964912280701754,0.19097256573008098,1.0,0.5915492957746479,0.7433628318584071,Binary M3 at this threshold approves all trades; strategy equals M1-only.,0.018455116947102557,0.8517572172802662,-0.04476192164328585,0.06480757486171718,False
binary,0.58,855,95,0.1111111111111111,0.8888888888888888,0.8888888888888888,0.9007936507936508,0.5973684210526315,0.7183544303797469,,0.07688451869740032,0.7449648729250095,-0.2091486495697401,-0.041984769493539575,True
linear_gated,0.58,855,95,0.1111111111111111,0.8888888888888888,0.17515252215636462,0.9007936507936508,0.5973684210526315,0.7183544303797469,,0.017610630311367226,0.8421378889502174,-0.04145533972331794,0.05518824653166832,True
binary,0.6,855,537,0.6280701754385964,0.37192982456140355,0.3719298245614035,0.42857142857142855,0.6792452830188679,0.5255474452554745,,0.05575891354416118,0.9440844763654878,-0.06234602354121377,0.15713483394693872,True
linear_gated,0.6,855,537,0.6280701754385964,0.37192982456140355,0.08053286821755017,0.42857142857142855,0.6792452830188679,0.5255474452554745,,0.012228252763538228,0.9493749332085801,-0.014415183806391618,0.1624252907900311,True
binary,0.62,855,840,0.9824561403508771,0.01754385964912286,0.017543859649122806,0.015873015873015872,0.5333333333333333,0.030828516377649325,,0.007954162325690017,0.6714801412926731,-0.015650042517779017,-0.11546950112587595,True
linear_gated,0.62,855,840,0.9824561403508771,0.01754385964912286,0.004318487709947551,0.015873015873015872,0.5333333333333333,0.030828516377649325,,0.0019465392225268552,0.6717674720118019,-0.003873678340357789,-0.11518217040674716,True
binary,0.64,855,855,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,-0.786949642418549,True
linear_gated,0.64,855,855,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,-0.786949642418549,True
binary,0.66,855,855,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,-0.786949642418549,True
linear_gated,0.66,855,855,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,-0.786949642418549,True
binary,0.68,855,855,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,-0.786949642418549,True
linear_gated,0.68,855,855,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,-0.786949642418549,True
binary,0.7,855,855,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,-0.786949642418549,True
linear_gated,0.7,855,855,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,-0.786949642418549,True
