period,factor,ic_mean,ic_std,ic_hit_rate,n_weeks
full,momentum_score,0.02835862324204294,0.49133929071757615,0.5107731305449936,789
full,trend_score,0.03326941514860978,0.4873902113366806,0.47021546261089986,789
full,macro_score,-0.009064959796110281,0.4497035282183341,0.47021546261089986,789
full,risk_penalty,0.05431162102146559,0.4560813358171884,0.5386565272496832,789
full,M1_score,0.01739917035259859,0.48733221005990013,0.4841571609632446,789
train,momentum_score,-0.002640070401877378,0.5062268132403354,0.49,500
train,trend_score,-0.015527950310559008,0.506205773528587,0.416,500
train,macro_score,0.007857242756607687,0.4711954702897345,0.482,500
train,risk_penalty,0.04150777354062775,0.45098697091415485,0.53,500
train,M1_score,-0.028111873974991652,0.49980780993255436,0.446,500
test,momentum_score,0.08132832080200503,0.460853967848383,0.5467128027681661,289
test,trend_score,0.11203007518796994,0.4450716962961709,0.5640138408304498,289
test,macro_score,-0.03875303445000143,0.40838889789082633,0.44982698961937717,289
test,risk_penalty,0.0761904761904762,0.4646383379484537,0.5536332179930796,289
test,M1_score,0.09724310776942356,0.45458396778068527,0.5501730103806228,289
