variant,momentum,trend,macro,risk_penalty,train_ann_return,train_sharpe,train_max_drawdown,test_ann_return,test_sharpe,test_max_drawdown
grid,0.6,0.15,0.1,0.15,0.048254920188910866,0.5920988500648594,-0.13868054550881648,0.08471180687808655,0.8938377235342256,-0.19232175174195798
grid,0.5,0.15,0.2,0.15,0.048901181462367216,0.5738662819847814,-0.13842616582102918,0.08685331992266909,0.8972843379803441,-0.2015123296523995
grid,0.5,0.25,0.1,0.15,0.04662707242063435,0.5424937983547119,-0.15337207614450254,0.08885870543749186,0.9201416148749902,-0.18521277195265762
grid,0.3,0.25,0.3,0.15,0.04828322799512508,0.5386885260883161,-0.14734339681229436,0.0817139203324293,0.8514384027712709,-0.1765020561084627
grid,0.6,0.15,0.2,0.05,0.046124554333417,0.5242237707137518,-0.1605602222732836,0.08007567656820203,0.8109052503556788,-0.20831401177396391
grid,0.2,0.35,0.3,0.15,0.04528758719667891,0.5059431067206874,-0.15349040445152407,0.09023754500383463,0.9367658696225336,-0.1536051837606952
grid,0.4,0.25,0.2,0.15,0.044250843221911085,0.5006627028043948,-0.15563282240000864,0.08345477193355944,0.8533135178709105,-0.19983791353897173
grid,0.4,0.35,0.1,0.15,0.04233897962495714,0.48707000569315395,-0.15581895743285612,0.08965077314514147,0.926327533519452,-0.18192859453806187
grid,0.3,0.35,0.2,0.15,0.042017924901432746,0.4674564324532679,-0.1533852781856977,0.08737733037292106,0.895740190437838,-0.1683294961139945
grid,0.4,0.15,0.3,0.15,0.039778771143070824,0.4643269871572839,-0.12993076251791758,0.0900955186501764,0.9504323843380934,-0.17113854184506871
grid,0.4,0.25,0.3,0.05,0.039396681708129044,0.430317221797368,-0.15782989609148768,0.07658323411611545,0.7671320706930931,-0.21980008642533677
grid,0.5,0.15,0.3,0.05,0.03813656261078213,0.4279700602184114,-0.15864511333293385,0.08146313045898568,0.8242999757540103,-0.20525610049127074
grid,0.5,0.25,0.2,0.05,0.038876757739932266,0.4241560293447799,-0.1653170595795802,0.0903482865004146,0.9013114935461347,-0.1953793838808655
grid,0.3,0.35,0.3,0.05,0.03681915744432329,0.40396098915210793,-0.1628636646758529,0.09444582889409459,0.9688813879714713,-0.17831565608583932
grid,0.2,0.45,0.2,0.15,0.03547407562234084,0.3939215462798888,-0.16935857693309808,0.09351736891476303,0.977522786760809,-0.15604593751059026
