bucket,n,mean_pred,realized
"(0.494, 0.537]",87,0.5177829479299041,0.5057471264367817
"(0.537, 0.553]",87,0.5463589709339115,0.5747126436781609
"(0.553, 0.562]",86,0.557519164250543,0.6627906976744186
"(0.562, 0.57]",87,0.5660111926116302,0.5287356321839081
"(0.57, 0.578]",87,0.5736212540130101,0.5747126436781609
"(0.578, 0.586]",86,0.5813339695610834,0.6162790697674418
"(0.586, 0.594]",87,0.5902846865032488,0.6896551724137931
"(0.594, 0.601]",86,0.5978181364533843,0.6627906976744186
"(0.601, 0.61]",87,0.6056192312139244,0.6896551724137931
"(0.61, 0.646]",87,0.6211582121222573,0.5747126436781609
