feature,coefficient,abs_coefficient
mom_52w,-0.6217380517258526,0.6217380517258526
mom_vol_interaction,-0.5584706289327735,0.5584706289327735
inflation_trend,0.5288220839435387,0.5288220839435387
mom_12w,0.4698380986679947,0.4698380986679947
m1_score_abs,-0.4652930952710472,0.4652930952710472
z_mom_52w,0.4593558239146547,0.4593558239146547
inflation_up,-0.4556301131214528,0.4556301131214528
growth_down,-0.4006173130645418,0.4006173130645418
carry_yield_level,-0.3564248835487276,0.3564248835487276
M1_score,0.2565060171671474,0.2565060171671474
cross_asset_dispersion_12w,-0.24067723859745857,0.24067723859745857
corr_to_spy_26w,0.21564864091914263,0.21564864091914263
momentum_score,0.2144722364762912,0.2144722364762912
credit_stress,-0.2015790268042635,0.2015790268042635
m1_x_risk_off,-0.19996882353843085,0.19996882353843085
