variant,momentum,trend,macro,risk_penalty,train_ann_return,train_sharpe,train_max_drawdown,test_ann_return,test_sharpe,test_max_drawdown
grid,0.4,0.35,0.2,0.05,0.01695221598974217,0.21991898245989372,-0.15088175015543315,0.032808078313281364,0.5737888671294351,-0.05408553314080944
grid,0.4,0.25,0.3,0.05,0.0153736969331697,0.20140793978385,-0.1498277479054957,0.024620448735350964,0.43239829302763316,-0.07695609588286345
grid,0.5,0.15,0.2,0.15,0.015521119175142983,0.20053083236266547,-0.15202229540759393,0.022265498494331792,0.38483031906331,-0.08180371737679537
grid,0.5,0.15,0.3,0.05,0.0150952207270163,0.1980454205234511,-0.14719906173213593,0.022704851520101377,0.39202520897477355,-0.08497397956543773
grid,0.4,0.35,0.1,0.15,0.013762681282217804,0.18113216296647558,-0.15173911084734315,0.018452633144931285,0.3221554402950541,-0.10919118246597814
grid,0.4,0.45,0.1,0.05,0.01354937903948783,0.1771310516099251,-0.17547421748884806,0.032069318025633065,0.5542282440231077,-0.05895026581714413
grid,0.3,0.35,0.3,0.05,0.012716533887211723,0.16391789034653706,-0.15719786723272056,0.029544478812461916,0.526913920325109,-0.06430498585259059
grid,0.2,0.45,0.3,0.05,0.01253123783759924,0.15928640066995,-0.1793379335604438,0.033991239632934045,0.5937525292754495,-0.06515963646483691
grid,0.3,0.35,0.2,0.15,0.011616117401434423,0.15052377869452332,-0.17259880633966118,0.022665414780416393,0.3901525128791684,-0.0856971838177556
grid,0.5,0.25,0.2,0.05,0.011320540754349961,0.14796921248683564,-0.14563900380524353,0.03144714238602342,0.5545824304429056,-0.07086388014375433
grid,0.4,0.15,0.3,0.15,0.01142083913428471,0.14719710965421445,-0.15247371191369752,0.010459967196039921,0.1723245228146961,-0.11364040613870807
grid,0.4,0.25,0.2,0.15,0.010842115170247801,0.14391967222441737,-0.14216984293312418,0.02326280680084425,0.39521046982732255,-0.07998639410741792
grid,0.3,0.45,0.2,0.05,0.011061678455307922,0.14166680636099313,-0.1781389902339512,0.03261461131725474,0.5621172608912234,-0.07505893636568317
grid,0.3,0.25,0.3,0.15,0.01079688728936401,0.14059854084832943,-0.14543302438555517,0.013767136929470514,0.23333960210952218,-0.0922873413260058
grid,0.6,0.15,0.2,0.05,0.010360173890181068,0.13615369784054143,-0.15468170456586505,0.020570270023155146,0.35578313685559293,-0.07312525655918456
