,z_mom_12w,z_mom_26w,z_mom_52w,rank_mom_12w,rel_mom_12w,z_trend_signal,z_vol_12w,drawdown_26w,z_drawdown_26w,growth_trend,risk_off,inflation_up,curve_inverted,credit_stress
z_mom_12w,1.0,0.5961934038083944,0.41185899745703747,0.9535348569345132,0.8845016750072083,0.518155934009985,-0.08369057667436977,0.3926105438990187,0.6268793549847157,0.00010402799849366289,-0.0007938721770573013,0.00016495760674680658,,-0.0004344439827519897
z_mom_26w,0.5961934038083944,1.0,0.6608719187603476,0.5766674345999359,0.5753412118998728,0.879376287485574,-0.08896406893253395,0.3946401740144739,0.5972019225437522,0.00017204709557238997,-0.0016107841305656153,0.000419503743472183,,-0.0009554877219150043
z_mom_52w,0.41185899745703747,0.6608719187603476,1.0,0.3945117651931686,0.38758293968866386,0.7264801361787789,-0.08737525057504211,0.28983563712751576,0.42911705742993506,-0.0010820674140186166,-0.001385270142434767,0.0009513829793562553,,-0.0014018990597057497
rank_mom_12w,0.9535348569345132,0.5766674345999359,0.3945117651931686,1.0,0.8432104413695058,0.5026966483327561,-0.07445530630439406,0.37666344921954686,0.6023842532992082,2.8905408149764256e-16,-1.009408127963286e-16,-1.4098407733945567e-16,,1.3183602606067083e-16
rel_mom_12w,0.8845016750072083,0.5753412118998728,0.38758293968866386,0.8432104413695058,1.0,0.4970720696031101,-0.10266045581383722,0.475394585280269,0.5968874568676464,0.005074003723221671,-0.010677989038461936,0.0015604273382687564,,-0.02260691582284886
z_trend_signal,0.518155934009985,0.879376287485574,0.7264801361787789,0.5026966483327561,0.4970720696031101,1.0,-0.08521554447442117,0.3373515313132891,0.48884838830912036,4.57826244300289e-06,-0.001625730088447886,0.00039802240776612213,,-0.0010283181472646949
z_vol_12w,-0.08369057667436977,-0.08896406893253395,-0.08737525057504211,-0.07445530630439406,-0.10266045581383722,-0.08521554447442117,1.0,-0.30995576518347046,-0.4996908048638156,0.0021696844714193574,-0.00037116113777869184,0.0005371602178454436,,-0.0009248019996886911
drawdown_26w,0.3926105438990187,0.3946401740144739,0.28983563712751576,0.37666344921954686,0.475394585280269,0.3373515313132891,-0.30995576518347046,1.0,0.5534943774268003,0.26884510329781053,-0.3675884356608069,-0.07620500568069528,,-0.5247267043460346
z_drawdown_26w,0.6268793549847157,0.5972019225437522,0.42911705742993506,0.6023842532992082,0.5968874568676464,0.48884838830912036,-0.4996908048638156,0.5534943774268003,1.0,0.000329517074409321,-0.002467509438673989,-0.0017673000907319442,,-0.0029971179364896806
growth_trend,0.00010402799849366289,0.00017204709557238997,-0.0010820674140186166,2.8905408149764256e-16,0.005074003723221671,4.57826244300289e-06,0.0021696844714193574,0.26884510329781053,0.000329517074409321,1.0,-0.28874198480297303,0.3042703986083014,,-0.4512223680063431
risk_off,-0.0007938721770573013,-0.0016107841305656153,-0.001385270142434767,-1.009408127963286e-16,-0.010677989038461936,-0.001625730088447886,-0.00037116113777869184,-0.3675884356608069,-0.002467509438673989,-0.28874198480297303,1.0,0.018468625983826283,,0.4569768595828339
inflation_up,0.00016495760674680658,0.000419503743472183,0.0009513829793562553,-1.4098407733945567e-16,0.0015604273382687564,0.00039802240776612213,0.0005371602178454436,-0.07620500568069528,-0.0017673000907319442,0.3042703986083014,0.018468625983826283,1.0,,-0.0407842294128696
curve_inverted,,,,,,,,,,,,,,
credit_stress,-0.0004344439827519897,-0.0009554877219150043,-0.0014018990597057497,1.3183602606067083e-16,-0.02260691582284886,-0.0010283181472646949,-0.0009248019996886911,-0.5247267043460346,-0.0029971179364896806,-0.4512223680063431,0.4569768595828339,-0.0407842294128696,,1.0
