bucket,n,mean_pred,realized
"(0.325, 0.394]",174,0.37728106395011884,0.3850574712643678
"(0.394, 0.412]",173,0.40286700098546924,0.3815028901734104
"(0.412, 0.424]",173,0.4183468009790914,0.42196531791907516
"(0.424, 0.437]",174,0.4305452777960282,0.3850574712643678
"(0.437, 0.45]",173,0.44329249870173865,0.5260115606936416
"(0.45, 0.465]",173,0.4572373346803358,0.5722543352601156
"(0.465, 0.479]",174,0.47193144713806406,0.603448275862069
"(0.479, 0.495]",173,0.4863626051452991,0.6069364161849711
"(0.495, 0.522]",173,0.507152262745356,0.5433526011560693
"(0.522, 0.585]",174,0.5424021264940139,0.6149425287356322
