decile,n,mean_p_success,mean_trade_return,hit_rate
"(0.325, 0.394]",171,0.37698408957233015,-0.0059522408885633645,0.391812865497076
"(0.394, 0.412]",171,0.40276008007796854,-0.004591511527328679,0.38596491228070173
"(0.412, 0.425]",171,0.41843036215905544,-0.0008541307259664371,0.4269005847953216
"(0.425, 0.437]",171,0.4306365635569808,-0.008194463453506664,0.391812865497076
"(0.437, 0.451]",171,0.4433343892869924,0.00418234968448886,0.5380116959064327
"(0.451, 0.465]",171,0.4574049110394414,0.00794753947031869,0.5847953216374269
"(0.465, 0.479]",171,0.47203441224305526,0.012214421669698224,0.6023391812865497
"(0.479, 0.495]",171,0.486498704050697,0.013258433468044666,0.6198830409356725
"(0.495, 0.522]",171,0.507695004785659,0.003275455321456775,0.5555555555555556
"(0.522, 0.585]",171,0.5427667867130094,0.0066956023698339796,0.6140350877192983
