feature,coefficient,abs_coefficient
growth_down,-0.29843195362638686,0.29843195362638686
momentum_score,0.272352551241492,0.272352551241492
mom_vol_interaction,-0.2669781312608483,0.2669781312608483
M1_signal,0.2553732947914186,0.2553732947914186
growth_trend,-0.23795231950565623,0.23795231950565623
rel_mom_12w,0.235873326906295,0.235873326906295
mom_26w,-0.23539644041479693,0.23539644041479693
carry_yield_level,-0.21087678626580542,0.21087678626580542
vol_26w,-0.1909557314103639,0.1909557314103639
m1_x_vol,-0.19060860303423444,0.19060860303423444
rank_mom_12w,-0.18135235595811838,0.18135235595811838
m1_score_abs,-0.175040288655358,0.175040288655358
z_mom_26w,0.17414267761500649,0.17414267761500649
drawdown_26w,0.16768251082873006,0.16768251082873006
trend_signal,0.16579120508569367,0.16579120508569367
