regime_flag,regime_state,strategy,n_weeks,annualized_return,sharpe,hit_rate
risk_off,on,equal_weight_1_7,176,0.2339873181593397,1.4106113922181795,0.6363636363636364
risk_off,on,m1_only,176,-0.030218954034475165,-0.36563552906312125,0.5056818181818182
risk_off,on,m1_m2_m3_ecdf,176,0.06353879421943898,1.1494560024253946,0.6136363636363636
risk_off,on,m1_m2_ecdf,176,0.06353879421943898,1.1494560024253946,0.6136363636363636
risk_off,off,equal_weight_1_7,613,0.021202826144775644,0.23646550690227064,0.5497553017944535
risk_off,off,m1_only,613,0.016478389757048628,0.3342295457878483,0.5203915171288744
risk_off,off,m1_m2_m3_ecdf,613,0.02084596862976551,0.5009873924705781,0.5497553017944535
risk_off,off,m1_m2_ecdf,613,0.02084596862976551,0.5009873924705781,0.5497553017944535
curve_inverted,off,equal_weight_1_7,789,0.06524091047671043,0.5838248917954368,0.5690747782002535
curve_inverted,off,m1_only,789,0.0058706213797348195,0.10051035110969268,0.5171102661596958
curve_inverted,off,m1_m2_m3_ecdf,789,0.03021834396418832,0.6708488149503349,0.5640050697084917
curve_inverted,off,m1_m2_ecdf,789,0.03021834396418832,0.6708488149503349,0.5640050697084917
inflation_up,on,equal_weight_1_7,325,-0.023169211080389385,-0.18561659076685846,0.5384615384615384
inflation_up,on,m1_only,325,0.027216349794985772,0.44393923062276713,0.5384615384615384
inflation_up,on,m1_m2_m3_ecdf,325,0.022339913286673507,0.45144828624998457,0.5384615384615384
inflation_up,on,m1_m2_ecdf,325,0.022339913286673507,0.45144828624998457,0.5384615384615384
inflation_up,off,equal_weight_1_7,464,0.13188943031407385,1.3069349360035918,0.5905172413793104
inflation_up,off,m1_only,464,-0.008815885066879803,-0.1566842291723239,0.5021551724137931
inflation_up,off,m1_m2_m3_ecdf,464,0.03577276940642404,0.8579721558878891,0.5818965517241379
inflation_up,off,m1_m2_ecdf,464,0.03577276940642404,0.8579721558878891,0.5818965517241379
growth_down,on,equal_weight_1_7,397,0.06682649226367876,0.5639399412270446,0.5566750629722922
growth_down,on,m1_only,397,-0.0035545906741554223,-0.059163155208306284,0.5037783375314862
growth_down,on,m1_m2_m3_ecdf,397,0.027174911799493495,0.599745850821013,0.5617128463476071
growth_down,on,m1_m2_ecdf,397,0.027174911799493495,0.599745850821013,0.5617128463476071
growth_down,off,equal_weight_1_7,392,0.06363750628368647,0.6082899156367391,0.5816326530612245
growth_down,off,m1_only,392,0.015506921097505844,0.27344133949871696,0.5306122448979592
growth_down,off,m1_m2_m3_ecdf,392,0.03330978622475156,0.7430533558777468,0.5663265306122449
growth_down,off,m1_m2_ecdf,392,0.03330978622475156,0.7430533558777468,0.5663265306122449
